A_G1	A_G1.pair1.fastq.gz	A_G1.pair2.fastq.gz
A_G2	A_G2.pair1.fastq.gz	A_G2.pair2.fastq.gz
A_G3	A_G3.pair1.fastq.gz	A_G3.pair2.fastq.gz
A_G4	A_G4.pair1.fastq.gz	A_G4.pair2.fastq.gz
A_G5	A_G5.pair1.fastq.gz	A_G5.pair2.fastq.gz
AN_3	AN_3.pair1.fastq.gz	AN_3.pair2.fastq.gz
AN_G1	AN_G1.pair1.fastq.gz	AN_G1.pair2.fastq.gz
AN_G2	AN_G2.pair1.fastq.gz	AN_G2.pair2.fastq.gz
AN_G4	AN_G4.pair1.fastq.gz	AN_G4.pair2.fastq.gz
AN_G5	AN_G5.pair1.fastq.gz	AN_G5.pair2.fastq.gz
E_P1	E_P1.pair1.fastq.gz	E_P1.pair2.fastq.gz
E_P2	E_P2.pair1.fastq.gz	E_P2.pair2.fastq.gz
E_P3	E_P3.pair1.fastq.gz	E_P3.pair2.fastq.gz
E_P4	E_P4.pair1.fastq.gz	E_P4.pair2.fastq.gz
E_P5	E_P5.pair1.fastq.gz	E_P5.pair2.fastq.gz
EA_G1	EA_G1.pair1.fastq.gz	EA_G1.pair2.fastq.gz
EA_G2	EA_G2.pair1.fastq.gz	EA_G2.pair2.fastq.gz
EA_G3	EA_G3.pair1.fastq.gz	EA_G3.pair2.fastq.gz
EA_G4	EA_G4.pair1.fastq.gz	EA_G4.pair2.fastq.gz
EA_G5	EA_G5.pair1.fastq.gz	EA_G5.pair2.fastq.gz
EA_P1	EA_P1.pair1.fastq.gz	EA_P1.pair2.fastq.gz
EA_P2	EA_P2.pair1.fastq.gz	EA_P2.pair2.fastq.gz
EA_P3	EA_P3.pair1.fastq.gz	EA_P3.pair2.fastq.gz
EA_P4	EA_P4.pair1.fastq.gz	EA_P4.pair2.fastq.gz
EA_P5	EA_P5.pair1.fastq.gz	EA_P5.pair2.fastq.gz
EAN_G1	EAN_G1.pair1.fastq.gz	EAN_G1.pair2.fastq.gz
EAN_G2	EAN_G2.pair1.fastq.gz	EAN_G2.pair2.fastq.gz
EAN_G3	EAN_G3.pair1.fastq.gz	EAN_G3.pair2.fastq.gz
EAN_G4	EAN_G4.pair1.fastq.gz	EAN_G4.pair2.fastq.gz
EAN_P1	EAN_P1.pair1.fastq.gz	EAN_P1.pair2.fastq.gz
EAN_P2	EAN_P2.pair1.fastq.gz	EAN_P2.pair2.fastq.gz
EAN_P3	EAN_P3.pair1.fastq.gz	EAN_P3.pair2.fastq.gz
EAN_P4	EAN_P4.pair1.fastq.gz	EAN_P4.pair2.fastq.gz
EAN_P5	EAN_P5.pair1.fastq.gz	EAN_P5.pair2.fastq.gz
